Día,Entrada,Salida,h:m,Tiempo,Tarifa (horaria),Pesos,Presupuesto,Approved,Estado,Billable,Customer,Project,Activity,Description,Comentario,Location,Tracking Number,Nombre de usuario,despejado
14.05.,17:40,18:10,0:30,0.50,36.56,18.35,,,open,0%,ECSA,Sigas SCA,Operativo,Prueba de reporte talleres,,,,nespino,0
12.05.,21:30,01:00,3:30,3.50,585.00,2047.50,,,open,0%,ECSA,Beagle SCA,Operativo,Pruebas Sockets. Intento instalación (compilación) Python 3.6 en Beagle. x problema con PIP en Python 3.4.2,,,,lcolombo,0
12.05.,18:00,18:30,0:30,0.50,36.56,18.28,,,open,0%,Bitson,Bitson,Operativo,"reporte talleres. busqueda backup, envio",,,,hbrunacci,0
12.05.,17:45,18:00,0:15,0.25,585.00,146.25,,,open,0%,Bitson,Cromi,Gestión Comercial,@cuberti cuenta como le fue con la cuñada de Pablo.,,,,lcolombo,0
12.05.,17:40,18:38,0:58,0.98,36.56,35.88,,,open,0%,ECSA,Sigas SGS,Operativo,,,,,nespino,0
12.05.,17:00,17:30,0:30,0.50,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,Cooperativa diseno,,,,ddebonis,0
12.05.,17:00,17:45,0:45,0.75,585.00,438.75,,,open,0%,Bitson,Bitson,Reunion,Cooperativa de Diseño,,,,lcolombo,0
12.05.,17:00,17:40,0:40,0.67,36.56,24.37,,,open,0%,Bitson,Bitson,Gestión Interna,Reunión con Cooperativa de Diseño,,,,nespino,0
12.05.,16:25,17:00,0:35,0.58,585.00,341.25,,,open,0%,Bitson,Kairos,Operativo,Actualización Tótem y pruebas de funcionamiento.,,,,lcolombo,0
12.05.,16:05,16:25,0:20,0.33,585.00,195.00,,,open,0%,Bitson,Bitson,Intercooperativo,Charla c/@gabhge por Coopeviajes (Cruceros).,,,,lcolombo,0
12.05.,15:45,16:05,0:20,0.33,585.00,195.00,,,open,0%,Bitson,Kairos,Operativo,Prueba de Tótem p/DEMO.,,,,lcolombo,0
12.05.,15:17,17:00,1:42,1.71,36.56,62.43,,,open,0%,ECSA,Sigas SGS,Operativo,,,,,nespino,0
12.05.,15:08,15:13,0:04,0.08,36.56,2.84,,,open,0%,ECSA,Sigas SGS,Operativo,MercadoPago,,,,nespino,0
12.05.,14:30,17:00,2:30,2.50,28.00,70.00,,,open,0%,Bitson,Bitson,Desarrollo,NFC,,,,ddebonis,0
12.05.,14:15,14:30,0:15,0.25,0.00,0.00,,,open,0%,ECSA,Sigas SGS,Desarrollo,,,,,ddebonis,0
12.05.,14:00,14:15,0:15,0.25,0.00,0.00,,,open,0%,Bitson,Bitson,Almuerzo,,,,,ddebonis,0
12.05.,14:00,17:00,3:00,3.00,0.00,0.00,,,open,0%,Betterez,Betterez,Desarrollo,,,,,abrunacci,0
12.05.,14:00,18:00,4:00,4.00,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,"Domi. 
Revisión de del producto. 
Charla de venta del producto
Actualizacion Taiga
Federación Bahia Blanca Basquet
KAiros
Cooperativa de diseño
",,,,hbrunacci,0
12.05.,13:50,15:45,1:55,1.92,585.00,1121.25,,,open,0%,Bitson,Cromi,Gestión Comercial,"Muestra de DOMI a @cuberti y @hbrunacci. Comercialización, faltantes y fechas comprometidas.",,,,lcolombo,0
12.05.,13:00,14:00,1:00,1.00,0.00,0.00,,,open,0%,Bitson,Bitson,Almuerzo,,,,,abrunacci,0
12.05.,12:59,18:01,5:01,5.03,0.00,0.00,,,open,%,Bitson,Bitson,Gestión Interna,,,,,cuberti,0
12.05.,12:37,14:30,1:52,1.88,36.56,68.62,,,open,0%,ECSA,Sigas SGS,Operativo,MercadoPago,,,,nespino,0
12.05.,11:15,12:35,1:20,1.33,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,,,,,hbrunacci,0
12.05.,10:30,11:30,1:00,1.00,585.00,585.00,,,open,0%,ECSA,Beagle SCA,Operativo,Server REQ-REP & PUB-SUB de pruebas.,,,,lcolombo,0
12.05.,09:00,14:00,5:00,5.00,0.00,0.00,,,open,0%,ECSA,Sigas SGS,Desarrollo,Mercadopago SIGAS,,,,ddebonis,0
12.05.,09:00,13:00,4:00,4.00,28.00,112.00,,,open,0%,Betterez,Betterez,Desarrollo,6413,,,,abrunacci,0
11.05.,17:38,18:22,0:44,0.74,36.56,26.88,,,open,%,ECSA,Sigas SGS,Operativo,,,,,nespino,0
11.05.,16:25,18:00,1:35,1.58,585.00,926.25,,,open,0%,ECSA,Beagle SCA,Operativo,Display Class & Command Enum. Pruebas Req/Rep & Pub/Sub sin mucho éxito.,,,,lcolombo,0
11.05.,16:15,17:32,1:16,1.27,36.56,46.43,,,open,%,ECSA,Sigas SGS,Operativo,,,,,nespino,0
11.05.,16:00,17:00,1:00,1.00,28.00,28.00,,,open,0%,Bitson,Bitson,Desarrollo,NFC Reader,,,,ddebonis,0
11.05.,15:35,16:25,0:50,0.83,585.00,487.50,,,open,0%,ECSA,Banfield,Presupuesto,Instalación visitas,,,,lcolombo,0
11.05.,15:17,16:07,0:50,0.84,0.00,0.00,,,open,%,Bitson,Bitson,Presupuesto,,,,,nespino,0
11.05.,15:10,15:35,0:25,0.42,585.00,243.75,,,open,0%,Kairos - Totem,Registro,Presupuesto,Primer presupuesto - Envío de preguntas a HB,,,,lcolombo,0
